make,word,count
mercedes,mercedesbenz,55
mercedes,amp,18
mercedes,benz,16
mercedes,eqs,13
mercedes,home,12
mercedes,party,12
mercedes,suv,12
mercedes,stadium,12
mercedes,police,11
mercedes,la,11
mercedes,crashes,8
mercedes,fleeing,8
mercedes,bust,8
mercedes,mercedesbenzvansusa,8
mercedes,colorado,7
mercedes,tell,7
mercedes,season,6
mercedes,mercedesbenzvans,6
mercedes,vanlife,6
mercedes,electric,6
mercedes,atlanta,6
mercedes,van,6
mercedes,coming,6
mercedes,ferrari,6
mercedes,motorsport,6
mercedes,st,5
mercedes,olivia,5
mercedes,car,5
mercedes,leap,5
mercedes,gclass,5
mercedes,mercedesamg,5
mercedes,life,5
mercedes,live,5
mercedes,later,5
mercedes,las,5
mercedes,combined,5
mercedes,singaporegp,5
mercedes,una,5
mercedes,aritegui,4
mercedes,gofrogs,4
mercedes,good,4
mercedes,ig,4
mercedes,social,4
mercedes,women,4
mercedes,park,4
mercedes,mbvans,4
mercedes,sprintervan,4
mercedes,space,4
mercedes,make,4
mercedes,run,4
bmw,xm,13
bmw,m,13
bmw,hybrid,11
bmw,suv,9
bmw,voice,9
bmw,assistant,9
bmw,cars,9
bmw,amazon,9
bmw,alexa,8
bmw,speed,6
bmw,st,6
bmw,based,6
bmw,hp,5
bmw,phev,5
bmw,paul,5
bmw,arrested,5
bmw,expects,5
bmw,building,5
bmw,bmws,4
bmw,powertrain,4
bmw,maple,4
bmw,grove,4
bmw,crash,4
bmw,teens,4
bmw,allnew,4
bmw,deliveries,4
bmw,car,4
bmw,use,4
bmw,global,4
bmw,super,4
bmw,does,4
bmw,data,4
bmw,mercedesbenz,3
bmw,world,3
bmw,berlin,3
bmw,itbmw,3
bmw,electric,3
bmw,mi,3
bmw,model,3
bmw,including,3
bmw,phase,3
bmw,testing,3
bmw,imsa,3
bmw,championship,3
bmw,auto,3
bmw,music,3
bmw,drive,3
bmw,flagship,3
bmw,design,3
bmw,amp,3
lexus,grandmothers,14
lexus,stories,10
lexus,special,8
lexus,hispanic,7
lexus,latinx,7
lexus,households,7
lexus,play,7
lexus,role,7
lexus,published,7
lexus,hearst,7
lexus,magazines,7
lexus,brands,7
lexus,partnership,7
lexus,capture,7
lexus,impact,7
lexus,families,7
lexus,rx,6
lexus,amp,5
lexus,baseball,5
lexus,presented,4
lexus,el,4
lexus,austinfc,3
lexus,x,3
lexus,golf,3
lexus,team,3
lexus,price,3
lexus,ride,3
lexus,cajon,3
lexus,bestselling,3
lexus,model,3
lexus,gotten,3
lexus,frequent,3
lexus,updates,3
lexus,interesting,3
lexus,black,2
lexus,old,2
lexus,big,2
lexus,road,2
lexus,comedy,2
lexus,orleans,2
lexus,pacers,2
lexus,foundation,2
lexus,outing,2
lexus,try,2
lexus,interested,2
lexus,evan,2
lexus,funke,2
lexus,test,2
lexus,drove,2
lexus,passenger,2
ford,amp,87
ford,truck,86
ford,super,73
ford,duty,65
ford,fords,45
ford,proctor,44
ford,game,41
ford,jobs,39
ford,vehicle,38
ford,plant,37
ford,supply,37
ford,fseries,37
ford,trucks,34
ford,city,33
ford,louisville,33
ford,kentucky,33
ford,gerald,32
ford,stadium,32
ford,electric,32
ford,chain,32
ford,harrison,32
ford,john,31
ford,home,30
ford,smu,29
ford,run,29
ford,billion,29
ford,big,28
ford,giants,28
ford,win,27
ford,vehicles,27
ford,million,27
ford,field,26
ford,st,25
ford,great,25
ford,henry,25
ford,ceo,25
ford,make,24
ford,good,24
ford,bigleague,24
ford,second,23
ford,company,23
ford,school,22
ford,tcu,22
ford,allnew,22
ford,best,22
ford,mustang,22
ford,pickup,22
ford,grand,22
ford,road,21
ford,motor,21
honda,issue,24
honda,game,21
honda,dealership,20
honda,center,18
honda,local,16
honda,information,15
honda,reach,14
honda,civic,13
honda,report,13
honda,concern,13
honda,dealer,13
honda,hear,12
honda,advise,12
honda,car,11
honda,position,11
honda,dm,10
honda,nats,10
honda,brought,10
honda,chance,10
honda,amp,10
honda,sorry,10
honda,provide,10
honda,la,9
honda,vehicle,9
honda,vin,9
honda,additional,9
honda,nationals,8
honda,hit,8
honda,diagnose,8
honda,assistance,8
honda,wed,8
honda,gather,8
honda,mileage,8
honda,address,8
honda,phone,8
honda,email,8
honda,family,8
honda,hondacrv,8
honda,driver,7
honda,driving,7
honda,allnew,7
honda,accord,7
honda,best,7
honda,thank,7
honda,inside,7
honda,home,6
honda,black,6
honda,team,6
honda,greetings,6
honda,support,6
toyota,en,31
toyota,amp,23
toyota,presented,23
toyota,night,19
toyota,center,19
toyota,vehicle,17
toyota,los,16
toyota,la,16
toyota,hispana,15
toyota,ev,15
toyota,toyotas,14
toyota,production,14
toyota,madre,14
toyota,años,14
toyota,iba,14
toyota,su,14
toyota,cuando,14
toyota,sospechosos,14
toyota,que,14
toyota,huian,14
toyota,chocaron,14
toyota,win,14
toyota,game,14
toyota,russia,13
toyota,ceo,13
toyota,plant,13
toyota,cars,12
toyota,chance,12
toyota,race,12
toyota,leaders,11
toyota,camry,11
toyota,north,11
toyota,tonight,11
toyota,toyoda,11
toyota,great,10
toyota,stadium,10
