,make,word,count
0,mercedes,mercedesbenz,55
1,mercedes,amp,18
2,mercedes,benz,16
3,mercedes,f1,15
4,mercedes,eqs,13
5,mercedes,home,12
6,mercedes,party,12
7,mercedes,suv,12
8,mercedes,stadium,12
9,mercedes,police,11
10,mercedes,la,11
11,mercedes,crashes,8
12,mercedes,fleeing,8
13,mercedes,bust,8
14,mercedes,mercedesbenzvansusa,8
15,mercedes,colorado,7
16,mercedes,61,7
17,mercedes,tell,7
18,mercedes,60,6
19,mercedes,63,6
20,mercedes,season,6
21,mercedes,mercedesbenzvans,6
22,mercedes,vanlife,6
23,mercedes,electric,6
24,mercedes,atlanta,6
25,mercedes,van,6
26,mercedes,coming,6
27,mercedes,ferrari,6
28,mercedes,motorsport,6
29,mercedes,st,5
30,mercedes,olivia,5
31,mercedes,car,5
32,mercedes,leap,5
33,mercedes,gclass,5
34,mercedes,mercedesamg,5
35,mercedes,life,5
36,mercedes,live,5
37,mercedes,later,5
38,mercedes,las,5
39,mercedes,combined,5
40,mercedes,singaporegp,5
41,mercedes,una,5
42,mercedes,aritegui,4
43,mercedes,gofrogs,4
44,mercedes,good,4
45,mercedes,62,4
46,mercedes,ig,4
47,mercedes,social,4
48,mercedes,women,4
49,mercedes,12,4
50,bmw,xm,13
51,bmw,m,13
52,bmw,v8,12
53,bmw,hybrid,11
54,bmw,2023,10
55,bmw,suv,9
56,bmw,voice,9
57,bmw,assistant,9
58,bmw,cars,9
59,bmw,amazon,9
60,bmw,alexa,8
61,bmw,speed,6
62,bmw,st,6
63,bmw,2022,6
64,bmw,based,6
65,bmw,hp,5
66,bmw,phev,5
67,bmw,paul,5
68,bmw,arrested,5
69,bmw,expects,5
70,bmw,building,5
71,bmw,bmws,4
72,bmw,powertrain,4
73,bmw,maple,4
74,bmw,grove,4
75,bmw,crash,4
76,bmw,teens,4
77,bmw,allnew,4
78,bmw,z4,4
79,bmw,deliveries,4
80,bmw,car,4
81,bmw,use,4
82,bmw,global,4
83,bmw,super,4
84,bmw,does,4
85,bmw,data,4
86,bmw,mercedesbenz,3
87,bmw,turbo4,3
88,bmw,world,3
89,bmw,berlin,3
90,bmw,itbmw,3
91,bmw,electric,3
92,bmw,mi,3
93,bmw,model,3
94,bmw,including,3
95,bmw,phase,3
96,bmw,testing,3
97,bmw,imsa,3
98,bmw,championship,3
99,bmw,auto,3
100,lexus,grandmothers,14
101,lexus,stories,10
102,lexus,special,8
103,lexus,hispanic,7
104,lexus,latinx,7
105,lexus,households,7
106,lexus,play,7
107,lexus,role,7
108,lexus,published,7
109,lexus,hearst,7
110,lexus,magazines,7
111,lexus,brands,7
112,lexus,partnership,7
113,lexus,capture,7
114,lexus,impact,7
115,lexus,families,7
116,lexus,rx,6
117,lexus,amp,5
118,lexus,baseball,5
119,lexus,presented,4
120,lexus,el,4
121,lexus,austinfc,3
122,lexus,x,3
123,lexus,golf,3
124,lexus,team,3
125,lexus,price,3
126,lexus,ride,3
127,lexus,cajon,3
128,lexus,bestselling,3
129,lexus,model,3
130,lexus,gotten,3
131,lexus,frequent,3
132,lexus,updates,3
133,lexus,interesting,3
134,lexus,black,2
135,lexus,old,2
136,lexus,big,2
137,lexus,road,2
138,lexus,300,2
139,lexus,comedy,2
140,lexus,orleans,2
141,lexus,pacers,2
142,lexus,foundation,2
143,lexus,outing,2
144,lexus,try,2
145,lexus,interested,2
146,lexus,2023,2
147,lexus,evan,2
148,lexus,funke,2
149,lexus,test,2
150,ford,amp,87
151,ford,truck,86
152,ford,super,73
153,ford,duty,65
154,ford,fords,45
155,ford,proctor,44
156,ford,game,41
157,ford,jobs,39
158,ford,vehicle,38
159,ford,plant,37
160,ford,supply,37
161,ford,fseries,37
162,ford,500,35
163,ford,trucks,34
164,ford,city,33
165,ford,louisville,33
166,ford,kentucky,33
167,ford,gerald,32
168,ford,stadium,32
169,ford,electric,32
170,ford,chain,32
171,ford,harrison,32
172,ford,john,31
173,ford,home,30
174,ford,smu,29
175,ford,run,29
176,ford,billion,29
177,ford,big,28
178,ford,giants,28
179,ford,win,27
180,ford,vehicles,27
181,ford,million,27
182,ford,field,26
183,ford,st,25
184,ford,great,25
185,ford,700,25
186,ford,henry,25
187,ford,ceo,25
188,ford,make,24
189,ford,2023,24
190,ford,good,24
191,ford,bigleague,24
192,ford,second,23
193,ford,company,23
194,ford,school,22
195,ford,tcu,22
196,ford,allnew,22
197,ford,best,22
198,ford,mustang,22
199,ford,pickup,22
200,honda,issue,24
201,honda,game,21
202,honda,dealership,20
203,honda,center,18
204,honda,local,16
205,honda,information,15
206,honda,reach,14
207,honda,civic,13
208,honda,report,13
209,honda,concern,13
210,honda,dealer,13
211,honda,hear,12
212,honda,advise,12
213,honda,car,11
214,honda,2023,11
215,honda,position,11
216,honda,dm,10
217,honda,nats,10
218,honda,brought,10
219,honda,chance,10
220,honda,amp,10
221,honda,sorry,10
222,honda,provide,10
223,honda,la,9
224,honda,vehicle,9
225,honda,vin,9
226,honda,additional,9
227,honda,nationals,8
228,honda,hit,8
229,honda,diagnose,8
230,honda,assistance,8
231,honda,wed,8
232,honda,gather,8
233,honda,mileage,8
234,honda,address,8
235,honda,phone,8
236,honda,email,8
237,honda,family,8
238,honda,hondacrv,8
239,honda,driver,7
240,honda,driving,7
241,honda,allnew,7
242,honda,accord,7
243,honda,best,7
244,honda,thank,7
245,honda,inside,7
246,honda,home,6
247,honda,black,6
248,honda,team,6
249,honda,greetings,6
250,toyota,en,31
251,toyota,amp,23
252,toyota,presented,23
253,toyota,defend210,23
254,toyota,night,19
255,toyota,center,19
256,toyota,vehicle,17
257,toyota,los,16
258,toyota,la,16
259,toyota,hispana,15
260,toyota,ev,15
261,toyota,toyotas,14
262,toyota,production,14
263,toyota,madre,14
264,toyota,55,14
265,toyota,años,14
266,toyota,iba,14
267,toyota,su,14
268,toyota,cuando,14
269,toyota,sospechosos,14
270,toyota,que,14
271,toyota,huian,14
272,toyota,chocaron,14
273,toyota,win,14
274,toyota,game,14
275,toyota,russia,13
276,toyota,ceo,13
277,toyota,plant,13
278,toyota,cars,12
279,toyota,chance,12
280,toyota,race,12
281,toyota,leaders,11
282,toyota,camry,11
283,toyota,north,11
284,toyota,tonight,11
285,toyota,toyoda,11
286,toyota,great,10
287,toyota,stadium,10
288,toyota,rockies,10
289,toyota,motor,10
290,toyota,chasingoctober,10
291,toyota,program,9
292,toyota,texas,9
293,toyota,amid,9
294,toyota,akio,9
295,toyota,corolla,9
296,toyota,auto,8
297,toyota,vehicles,8
298,toyota,2023,8
299,toyota,sale,8
300,chevrolet,dm,16
301,chevrolet,wed,14
302,chevrolet,dan,14
303,chevrolet,privacy,12
304,chevrolet,policy,12
305,chevrolet,vehicle,11
306,chevrolet,silverado,11
307,chevrolet,learn,11
